product,sale_price,Expected Price
Sante Infuser Water Bottle - Yellow,109.0,113.92985424080615
Gourmet Serving Plastic Bowl,139.0,145.2866948575418
"Glass Water Bottle With Round Base - Yellow, B1364",209.0,218.4526562965916
Premium Round Plastic Glass / Tumbler With Lid - Yellow,39.0,40.76389280175633
"Plastic Twister Container - Small, Brown",169.0,176.64353547427743
"Picnic Kit - Steel Container, Blue, Prime",619.0,646.996144725312
"Iron Table Organizer - Holder, White",349.0,364.78457917469126
Santerno 3 Tier Steel Cloth Dryer Stand,1659.0,1734.0332861054808
Double Walled Glass Bottle With Black Cap - BB1241Blk,279.0,291.6186177356414
"Keep Fresh Pet Container - Printed, Premium, Orange",109.0,113.92985424080615
Printed Plastic Easy Storage Container Set - Assorted Colour,229.0,239.3572167077487
"Glass Bottle With Plastic Outer - Pink Lid, BB1309",189.0,197.54809588543452
"Glass Bottle With Removable Fabric Cover - Black, Bb1311",309.0,322.9754583523771
"Lunch Box-Tiffin Set - Stainless Steel, Pink - PK BB 578 2",400.0,418.09120822314185
Disney Mickey Mouse Plastic Kids Sipper Bottle - Coolest Dude,299.0,312.5231781467985
Premium Round Plastic Container With Lid - Yellow,119.0,124.3821344463847
"Penta Plastic Pet Water Bottle - Light Blue, Wide Mouth",149.0,155.73897506312034
Polyset Ultra Plastic Lunch Box/Tiffin Box - Red,449.0,469.3073812304767
"Plastic Bottle - Narrow Neck, Brown, Apollo, 20371BR",99.0,103.4775740352276
Stainless Steel Adhesive - Hook (4cm),149.0,155.73897506312034
Magic Seal Round Plastic Oil Containers - Royal Blue,99.0,103.4775740352276
Storewell Storage Printed Plastic Container Set - Assorted Colour,379.0,396.14141979142687
Printed Plastic Easy Storage Container Set - Assorted Colour,149.0,155.73897506312034
"Plastic Flexi Lock No.3 Container - Gray, 1.8 L",79.0,82.57301362407051
"Plastic Oil/Vinegar Bottle/Cruet - Green, Bb-608",289.0,302.07089794122
Sunshine Insulated Water Bottle - Green,219.0,228.90493650217016
"Storage Plastic Container Set - Transparent, Orange, L5681C1",199.0,208.00037609101307
